x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-27.681087,-60.344585,0,7,France,Франция,en,Country
-22.646788,-65.67372,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
-22.684109,-65.80442,2,1,United_States,Соединённые_Штаты_Америки,en,Country
13.134748,20.431087,3,4,Хард-рок,Hard_rock,ln,MusicGenre
13.138794,20.426115,4,3,Hard_rock,Хард-рок,en,MusicGenre
13.120468,20.460379,5,6,Рок-музыка,Rock_music,ln,MusicGenre
13.135624,20.4427,6,5,Rock_music,Рок-музыка,en,MusicGenre
-27.71731,-60.356007,7,0,Франция,France,ln,Country
-22.812565,-54.730015,8,23,Spain,Испания,en,Country
-5.1703963,-6.575379,9,16,EMI,EMI,ln,Company
-25.927055,-57.04454,10,15,Italy,Италия,en,Country
-22.856245,-65.76012,11,36,Великобритания,United_Kingdom,ln,Country
-22.923237,-65.34352,12,59,London,Лондон,en,Settlement
13.100111,20.496813,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
-3.2013388,-8.770022,14,25,Warner_Bros.,Warner_Bros.,en,Company
-25.935875,-57.039124,15,10,Италия,Italy,ln,Country
-5.1686363,-6.572987,16,9,EMI,EMI,en,Company
13.128669,20.43241,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-47.494873,-35.135082,18,39,India,Индия,en,Country
-34.053875,-50.093113,19,30,Япония,Japan,ln,Country
-22.272095,-65.60974,20,29,New_York_City,Нью-Йорк,en,City
-25.034214,-51.26887,21,42,Бразилия,Brazil,ln,Country
-29.278975,-61.564777,22,31,Germany,Германия,en,Country
-22.877254,-54.619408,23,8,Испания,Spain,ln,Country
-34.137825,-60.802692,24,109,Poland,Польша,en,Country
-3.2473505,-8.786285,25,14,Warner_Bros.,Warner_Bros.,ln,Company
-3.2424903,-8.855086,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
13.104031,20.507446,27,48,Кантри,Country_music,ln,MusicGenre
-22.072577,-65.506775,28,187,Los_Angeles,Лос-Анджелес,en,City
-22.338081,-65.54315,29,20,Нью-Йорк,New_York_City,ln,City
-34.054295,-50.094105,30,19,Japan,Япония,en,Country
-29.273685,-61.577194,31,22,Германия,Germany,ln,Country
13.134743,20.428255,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
-3.2658086,-8.866803,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
-3.2797525,-8.857323,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
-3.288928,-8.865763,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
-22.931421,-65.796486,36,11,United_Kingdom,Великобритания,en,Country
13.178809,20.305054,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
-3.2100184,-8.887917,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-47.483196,-35.168694,39,18,Индия,India,ln,Country
-3.421904,-8.428087,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
-35.947563,-46.285137,41,218,Немецкий_язык,German_language,ln,Language
-25.044476,-51.279743,42,21,Brazil,Бразилия,en,Country
-33.92583,-58.6037,43,98,Российская_империя,Russian_Empire,ln,Country
6.8081884,29.1006,44,67,Queen_(band),Queen,en,Band
13.206181,20.18851,45,78,Блэк-метал,Black_metal,ln,MusicGenre
13.127724,20.470177,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
-24.167496,-52.035145,47,84,Аргентина,Argentina,ln,Country
13.116834,20.499146,48,27,Country_music,Кантри,en,MusicGenre
-24.126741,-52.183384,49,112,Чили,Chile,ln,Country
-33.766148,-58.532616,50,231,Russia,Россия,en,Country
-35.40844,-55.98334,51,72,Узбекистан,Uzbekistan,ln,Country
-32.35047,-62.78684,52,95,Sweden,Швеция,en,Country
-32.05063,-56.306328,53,58,Османская_империя,Ottoman_Empire,ln,Country
-33.10789,-60.365055,54,103,Estonia,Эстония,en,Country
-3.2229664,-8.90191,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
1.0181752,28.47861,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
-23.554104,-65.83787,57,110,Австралия,Australia,ln,Country
-32.043377,-56.30372,58,53,Ottoman_Empire,Османская_империя,en,Country
-22.966797,-65.30714,59,12,Лондон,London,ln,Settlement
13.182545,20.302631,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
4.080361,37.371788,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
-27.682768,-60.380234,62,217,Paris,Париж,en,Settlement
-28.81272,-60.840633,63,120,Бельгия,Belgium,ln,Country
6.3594904,30.761946,64,85,The_Beatles,The_Beatles,en,Band
-24.370756,-51.860226,65,134,Уругвай,Uruguay,ln,Country
-3.227526,-8.847459,66,151,Universal_Studios,Universal_Studios,en,Company
6.8265266,29.057255,67,44,Queen,Queen_(band),ln,Band
5.506034,30.87835,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
-30.828403,-61.028416,69,86,Чехословакия,Czechoslovakia,ln,Country
5.9505444,42.041527,70,135,Eminem,Эминем,en,MusicalArtist
-3.4722354,-8.419966,71,40,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,ln,Company
-35.411163,-55.989674,72,51,Uzbekistan,Узбекистан,en,Country
-35.903778,-46.316013,73,228,Испанский_язык,Spanish_language,ln,Language
5.477143,39.69882,74,219,Mariah_Carey,"Кэри,_Мэрайя",en,MusicalArtist
-30.897352,-60.317486,75,92,Венгрия,Hungary,ln,Country
-30.135294,-60.895958,76,153,Austria,Австрия,en,Country
-24.96834,-56.890293,77,118,Ломбардия,Lombardy,ln,AdministrativeRegion
13.209251,20.18556,78,45,Black_metal,Блэк-метал,en,MusicGenre
-5.1112905,-6.584517,79,190,Warner_Music_Group,Warner_Music_Group,ln,Company
-2.7871332,-9.187482,80,1053,Walt_Disney_Studios_Motion_Pictures,Walt_Disney_Studios_Motion_Pictures,en,Company
-35.942635,-46.325672,81,234,Русский_язык,Russian_language,ln,Language
-3.214567,-8.690003,82,179,United_Artists,United_Artists,en,Company
-25.304953,-51.17867,83,302,Португалия,Portugal,ln,Country
-24.186277,-52.03949,84,47,Argentina,Аргентина,en,Country
6.324789,30.757383,85,64,The_Beatles,The_Beatles,ln,Band
-30.829838,-61.0129,86,69,Czechoslovakia,Чехословакия,en,Country
-23.919373,-53.053665,87,88,Колумбия,Colombia,ln,Country
-23.902895,-53.08075,88,87,Colombia,Колумбия,en,Country
-32.06242,-57.775204,89,116,Болгария,Bulgaria,ln,Country
10.158834,31.661423,90,145,Linkin_Park,Linkin_Park,en,Band
-5.1437173,-6.6039453,91,104,Universal_Music_Group,Universal_Music_Group,ln,Company
-30.905827,-60.304794,92,75,Hungary,Венгрия,en,Country
4.9393797,30.897432,93,136,"Мартин,_Джордж_Генри",George_Martin,ln,MusicalArtist
-33.63327,-58.627495,94,279,Ukraine,Украина,en,Country
