x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-6.449514,-64.009544,0,7,France,Франция,en,Country
-1.4573241,-71.552376,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
-1.6479709,-71.783455,2,1,United_States,Соединённые_Штаты_Америки,en,Country
-48.295437,-27.818851,3,4,Хард-рок,Hard_rock,ln,MusicGenre
-48.33105,-27.814955,4,3,Hard_rock,Хард-рок,en,MusicGenre
-48.260933,-27.8222,5,6,Рок-музыка,Rock_music,ln,MusicGenre
-48.303314,-27.817478,6,5,Rock_music,Рок-музыка,en,MusicGenre
-6.314032,-63.90139,7,0,Франция,France,ln,Country
-16.002234,-65.58365,8,23,Spain,Испания,en,Country
7.089247,-3.5684013,9,16,EMI,EMI,ln,Company
-9.293327,-61.584293,10,15,Italy,Италия,en,Country
-1.4612685,-71.21607,11,36,Великобритания,United_Kingdom,ln,Country
-1.4291992,-71.39361,12,59,London,Лондон,en,Settlement
-48.225845,-27.82557,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
10.258775,-6.2471194,14,25,Warner_Bros.,Warner_Bros.,en,Company
-9.102366,-61.50619,15,10,Италия,Italy,ln,Country
7.072335,-3.5745406,16,9,EMI,EMI,en,Company
-48.282055,-27.81978,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
14.171264,-52.754505,18,39,India,Индия,en,Country
-0.48618013,-63.81744,19,30,Япония,Japan,ln,Country
-1.0423199,-71.395996,20,29,New_York_City,Нью-Йорк,en,City
-16.133087,-65.97127,21,42,Бразилия,Brazil,ln,Country
-5.4739623,-61.77638,22,31,Germany,Германия,en,Country
-15.615783,-65.9852,23,8,Испания,Spain,ln,Country
-2.8838842,-61.22943,24,109,Poland,Польша,en,Country
10.209402,-6.2262,25,14,Warner_Bros.,Warner_Bros.,ln,Company
10.236333,-6.38845,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
-48.23183,-27.824934,27,48,Кантри,Country_music,ln,MusicGenre
-1.1038443,-71.44889,28,187,Los_Angeles,Лос-Анджелес,en,City
-1.3390014,-71.275085,29,20,Нью-Йорк,New_York_City,ln,City
-0.46836933,-63.834774,30,19,Japan,Япония,en,Country
-5.499466,-62.74979,31,22,Германия,Germany,ln,Country
-48.332886,-27.814646,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
10.220243,-6.392624,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
10.227817,-6.359572,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
10.206407,-6.365026,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
-1.7901418,-71.75517,36,11,United_Kingdom,Великобритания,en,Country
-48.35693,-27.814116,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
10.239016,-6.385489,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
14.137168,-52.79491,39,18,Индия,India,ln,Country
10.24872,-6.0370336,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
22.970411,-55.16759,41,218,Немецкий_язык,German_language,ln,Language
-17.198826,-65.85856,42,21,Brazil,Бразилия,en,Country
-2.0841496,-60.25055,43,98,Российская_империя,Russian_Empire,ln,Country
5.04981,52.777264,44,67,Queen_(band),Queen,en,Band
-48.442146,-27.80806,45,78,Блэк-метал,Black_metal,ln,MusicGenre
-48.294735,-27.817755,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
-15.751887,-66.00173,47,84,Аргентина,Argentina,ln,Country
-48.278214,-27.819414,48,27,Country_music,Кантри,en,MusicGenre
-16.291548,-65.52071,49,112,Чили,Chile,ln,Country
-2.165477,-60.407192,50,231,Russia,Россия,en,Country
1.1538712,-59.33895,51,72,Узбекистан,Uzbekistan,ln,Country
-2.2073588,-65.32739,52,95,Sweden,Швеция,en,Country
-7.437935,-65.102295,53,58,Османская_империя,Ottoman_Empire,ln,Country
-1.629457,-61.70313,54,103,Estonia,Эстония,en,Country
10.2098675,-6.3884497,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
2.7325504,49.319145,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
-2.1944668,-70.43854,57,110,Австралия,Australia,ln,Country
