x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-3.7742932,0.4626198,0,7,France,Франция,en,Country
-5.2016015,6.2827067,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
-5.303012,6.5770273,2,1,United_States,Соединённые_Штаты_Америки,en,Country
-7.937522,11.8317995,3,4,Хард-рок,Hard_rock,ln,MusicGenre
-7.926602,11.86578,4,3,Hard_rock,Хард-рок,en,MusicGenre
-7.9154983,11.796194,5,6,Рок-музыка,Rock_music,ln,MusicGenre
-7.9062176,11.835184,6,5,Rock_music,Рок-музыка,en,MusicGenre
-5.3857193,0.5471085,7,0,Франция,France,ln,Country
-14.479668,-2.4033563,8,23,Spain,Испания,en,Country
11.484387,11.80851,9,16,EMI,EMI,ln,Company
-1.5796964,1.9233179,10,15,Italy,Италия,en,Country
-5.292874,6.0506577,11,36,Великобритания,United_Kingdom,ln,Country
-5.4317765,6.7398286,12,59,London,Лондон,en,Settlement
-7.907068,11.774207,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
13.78839,9.924188,14,25,Warner_Bros.,Warner_Bros.,en,Company
-5.72362,0.4594045,15,10,Италия,Italy,ln,Country
11.482165,11.811273,16,9,EMI,EMI,en,Company
-7.9312906,11.824103,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-16.183372,-37.49871,18,39,India,Индия,en,Country
-7.8815994,5.0031934,19,30,Япония,Japan,ln,Country
-5.0127263,6.838936,20,29,New_York_City,Нью-Йорк,en,City
-14.168542,-3.9107678,21,42,Бразилия,Brazil,ln,Country
-3.359227,0.5464071,22,31,Germany,Германия,en,Country
-13.582553,-3.1811461,23,8,Испания,Spain,ln,Country
-3.2971597,-2.8118448,24,109,Poland,Польша,en,Country
13.738768,9.904293,25,14,Warner_Bros.,Warner_Bros.,ln,Company
13.9908285,9.921712,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
-7.894888,11.755424,27,48,Кантри,Country_music,ln,MusicGenre
-5.1442876,6.824817,28,187,Los_Angeles,Лос-Анджелес,en,City
-5.246102,6.454743,29,20,Нью-Йорк,New_York_City,ln,City
-7.8847175,5.041024,30,19,Japan,Япония,en,Country
-3.764454,0.57862127,31,22,Германия,Germany,ln,Country
-7.9319744,11.8606205,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
13.983903,9.906997,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
13.710534,9.760782,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
13.677642,9.736961,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
-5.4342184,6.5157084,36,11,United_Kingdom,Великобритания,en,Country
-7.993671,11.892815,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
13.725552,9.78629,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-15.956142,-36.928696,39,18,Индия,India,ln,Country
13.876872,9.458532,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
-2.577266,-36.68368,41,218,Немецкий_язык,German_language,ln,Language
-15.056302,-3.5916367,42,21,Brazil,Бразилия,en,Country
-4.05123,-4.601601,43,98,Российская_империя,Russian_Empire,ln,Country
-3.8587377,51.7976,44,67,Queen_(band),Queen,en,Band
-8.136713,12.059218,45,78,Блэк-метал,Black_metal,ln,MusicGenre
-7.8873696,11.817448,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
-13.619799,-3.3422022,47,84,Аргентина,Argentina,ln,Country
-7.881057,11.804699,48,27,Country_music,Кантри,en,MusicGenre
-13.565594,-3.164577,49,112,Чили,Chile,ln,Country
-4.2296004,-4.142619,50,231,Russia,Россия,en,Country
-6.088486,-4.872653,51,72,Узбекистан,Uzbekistan,ln,Country
