x,y,ent,lang,ent_tr,type
-3.7742932000000002,0.4626198,France,en,Франция,Country
-5.2016015,6.2827067,Соединённые_Штаты_Америки,ln,United_States,Country
-5.303012,6.5770273,United_States,en,Соединённые_Штаты_Америки,Country
-7.937522,11.831799499999999,Хард-рок,ln,Hard_rock,MusicGenre
-7.926602000000001,11.86578,Hard_rock,en,Хард-рок,MusicGenre
-7.915498299999999,11.796194,Рок-музыка,ln,Rock_music,MusicGenre
-7.906217599999999,11.835184,Rock_music,en,Рок-музыка,MusicGenre
-5.3857193,0.5471085,Франция,ln,France,Country
-14.479667999999998,-2.4033563,Spain,en,Испания,Country
11.484387,11.80851,EMI,ln,EMI,Company
-1.5796964,1.9233179,Italy,en,Италия,Country
-5.292873999999999,6.0506577,Великобритания,ln,United_Kingdom,Country
-5.4317765,6.739828599999999,London,en,Лондон,Settlement
-7.907067999999999,11.774207,Рок-н-ролл,ln,Rock_and_roll,MusicGenre
13.78839,9.924188000000001,Warner_Bros.,en,Warner_Bros.,Company
-5.7236199999999995,0.4594045,Италия,ln,Italy,Country
11.482165,11.811273,EMI,en,EMI,Company
-7.9312906000000005,11.824103,Прогрессивный_рок,ln,Progressive_rock,MusicGenre
-16.183372,-37.498709999999996,India,en,Индия,Country
-7.881599400000001,5.0031934,Япония,ln,Japan,Country
-5.0127263,6.838936,New_York_City,en,Нью-Йорк,City
-14.168542,-3.9107678,Бразилия,ln,Brazil,Country
-3.3592269999999997,0.5464071,Germany,en,Германия,Country
-13.582553,-3.1811461,Испания,ln,Spain,Country
-3.2971597000000004,-2.8118448,Poland,en,Польша,Country
13.738767999999999,9.904293,Warner_Bros.,ln,Warner_Bros.,Company
13.990828500000001,9.921712,20th_Century_Fox,en,20th_Century_Fox,Company
-7.894888000000001,11.755424,Кантри,ln,Country_music,MusicGenre
-5.144287599999999,6.8248169999999995,Los_Angeles,en,Лос-Анджелес,City
-5.246102,6.454743,Нью-Йорк,ln,New_York_City,City
-7.884717500000001,5.041024,Japan,en,Япония,Country
-3.764454,0.57862127,Германия,ln,Germany,Country
-7.9319744000000005,11.8606205,Progressive_rock,en,Прогрессивный_рок,MusicGenre
13.983903,9.906997,20th_Century_Fox,ln,20th_Century_Fox,Company
13.710533999999999,9.760782,Paramount_Pictures,en,Paramount_Pictures,Company
13.677642,9.736961,Paramount_Pictures,ln,Paramount_Pictures,Company
-5.4342184,6.5157084,United_Kingdom,en,Великобритания,Country
-7.993671000000001,11.892814999999999,Индастриал-метал,ln,Industrial_metal,MusicGenre
13.725551999999999,9.78629,Columbia_Pictures,en,Columbia_Pictures,Company
-15.956142000000002,-36.928696,Индия,ln,India,Country
13.876872,9.458532,Metro-Goldwyn-Mayer,en,Metro-Goldwyn-Mayer,Company
-2.577266,-36.683679999999995,Немецкий_язык,ln,German_language,Language
-15.056301999999999,-3.5916367,Brazil,en,Бразилия,Country
-4.05123,-4.6016010000000005,Российская_империя,ln,Russian_Empire,Country
-3.8587377,51.7976,Queen_(band),en,Queen,Band
-8.136713,12.059218,Блэк-метал,ln,Black_metal,MusicGenre
-7.8873695999999995,11.817447999999999,Rock_and_roll,en,Рок-н-ролл,MusicGenre
-13.619798999999999,-3.3422022000000005,Аргентина,ln,Argentina,Country
-7.881057000000001,11.804699000000001,Country_music,en,Кантри,MusicGenre
-13.565594,-3.164577,Чили,ln,Chile,Country
-4.2296004,-4.142619,Russia,en,Россия,Country
-6.088486,-4.872653,Узбекистан,ln,Uzbekistan,Country
-3.5269873,1.8063056,Sweden,en,Швеция,Country
-8.59339,0.507741,Османская_империя,ln,Ottoman_Empire,Country
-5.4518455999999995,1.3298674,Estonia,en,Эстония,Country
13.717239999999999,9.781118,Columbia_Pictures,ln,Columbia_Pictures,Company
