x,y,ent,lang,ent_tr,type
-6.449514,-64.009544,France,en,Франция,Country
-1.4573241,-71.552376,Соединённые_Штаты_Америки,ln,United_States,Country
-1.6479709,-71.783455,United_States,en,Соединённые_Штаты_Америки,Country
-48.295437,-27.818851,Хард-рок,ln,Hard_rock,Book
-48.33105,-27.814955,Hard_rock,en,Хард-рок,MusicGenre
-48.260933,-27.8222,Рок-музыка,ln,Rock_music,Book
-48.303314,-27.817478,Rock_music,en,Рок-музыка,MusicGenre
-6.314032,-63.90139,Франция,ln,France,Country
-16.002234,-65.58365,Spain,en,Испания,Country
7.089247,-3.5684013,EMI,ln,EMI,Company
-9.293327,-61.584293,Italy,en,Италия,Country
-1.4612685,-71.21607,Великобритания,ln,United_Kingdom,Country
-1.4291992,-71.39361,London,en,Лондон,Settlement
-48.225845,-27.82557,Рок-н-ролл,ln,Rock_and_roll,Book
10.258775,-6.2471194,Warner_Bros.,en,Warner_Bros.,Company
-9.102366,-61.50619,Италия,ln,Italy,Country
7.072335,-3.5745406,EMI,en,EMI,Company
-48.282055,-27.81978,Прогрессивный_рок,ln,Progressive_rock,Book
14.171264,-52.754505,India,en,Индия,Country
-0.48618013,-63.81744,Япония,ln,Japan,Country
-1.0423199,-71.395996,New_York_City,en,Нью-Йорк,City
-16.133087,-65.97127,Бразилия,ln,Brazil,Country
-5.4739623,-61.77638,Germany,en,Германия,Country
-15.615783,-65.9852,Испания,ln,Spain,Country
-2.8838842,-61.22943,Poland,en,Польша,Country
10.209402,-6.2262,Warner_Bros.,ln,Warner_Bros.,Company
10.236333,-6.38845,20th_Century_Fox,en,20th_Century_Fox,Company
-48.23183,-27.824934,Кантри,ln,Country_music,Book
-1.1038443,-71.44889,Los_Angeles,en,Лос-Анджелес,City
-1.3390014,-71.275085,Нью-Йорк,ln,New_York_City,PopulatedPlace
-0.46836933,-63.834774,Japan,en,Япония,Country
-5.499466,-62.74979,Германия,ln,Germany,Country
-48.332886,-27.814646,Progressive_rock,en,Прогрессивный_рок,MusicGenre
10.220243,-6.392624,20th_Century_Fox,ln,20th_Century_Fox,Company
10.227817,-6.359572,Paramount_Pictures,en,Paramount_Pictures,Company
10.206407,-6.365026,Paramount_Pictures,ln,Paramount_Pictures,Company
-1.7901418,-71.75517,United_Kingdom,en,Великобритания,Country
-48.35693,-27.814116,Индастриал-метал,ln,Industrial_metal,Book
10.239016,-6.385489,Columbia_Pictures,en,Columbia_Pictures,Company
14.137168,-52.79491,Индия,ln,India,Country
10.24872,-6.0370336,Metro-Goldwyn-Mayer,en,Metro-Goldwyn-Mayer,Company
22.970411,-55.16759,Немецкий_язык,ln,German_language,Book
-17.198826,-65.85856,Brazil,en,Бразилия,Country
-2.0841496,-60.25055,Российская_империя,ln,Russian_Empire,Book
5.04981,52.777264,Queen_(band),en,Queen,Band
-48.442146,-27.80806,Блэк-метал,ln,Black_metal,Book
-48.294735,-27.817755,Rock_and_roll,en,Рок-н-ролл,MusicGenre
-15.751887,-66.00173,Аргентина,ln,Argentina,Country
-48.278214,-27.819414,Country_music,en,Кантри,MusicGenre
-16.291548,-65.52071,Чили,ln,Chile,Country
-2.165477,-60.407192,Russia,en,Россия,Country
1.1538712,-59.33895,Узбекистан,ln,Uzbekistan,Country
-2.2073588,-65.32739,Sweden,en,Швеция,Country
-7.437935,-65.102295,Османская_империя,ln,Ottoman_Empire,Book
-1.629457,-61.70313,Estonia,en,Эстония,Country
10.2098675,-6.3884497,Columbia_Pictures,ln,Columbia_Pictures,Company
2.7325504,49.319145,Rick_Rubin,en,"Рубин,_Рик",MusicalArtist
-2.1944668,-70.43854,Австралия,ln,Australia,Country
-7.7485657,-65.025826,Ottoman_Empire,en,Османская_империя,Country
-1.4910946,-71.10715,Лондон,ln,London,PopulatedPlace
-48.40085,-27.808756,Industrial_metal,en,Индастриал-метал,MusicGenre
-4.072125,59.065636,Макс_Мартин,ln,Max_Martin,MusicalArtist
-6.409509,-63.971703,Paris,en,Париж,Settlement
-6.214487,-63.918095,Бельгия,ln,Belgium,Country
1.5778729,53.44915,The_Beatles,en,The_Beatles,Band
-15.900129,-66.04733,Уругвай,ln,Uruguay,Country
10.219242,-6.2827616,Universal_Studios,en,Universal_Studios,Company
4.978385,52.776512,Queen,ln,Queen_(band),Band
0.63667387,52.15808,George_Harrison,en,"Харрисон,_Джордж",MusicalArtist
-4.563751,-62.66326,Чехословакия,ln,Czechoslovakia,Book
-2.9670029,62.54266,Eminem,en,Эминем,Person
10.229963,-6.06801,Metro-Goldwyn-Mayer,ln,Metro-Goldwyn-Mayer,Company
1.2126684,-59.291706,Uzbekistan,en,Узбекистан,Country
22.967443,-55.173862,Испанский_язык,ln,Spanish_language,Book
-2.469856,59.867863,Mariah_Carey,en,"Кэри,_Мэрайя",Person
-4.8733115,-63.035564,Венгрия,ln,Hungary,Country
-5.598105,-62.084663,Austria,en,Австрия,Country
-13.008396,-62.17326,Ломбардия,ln,Lombardy,Book
-48.491386,-27.801188,Black_metal,en,Блэк-метал,MusicGenre
7.122877,-3.5382752,Warner_Music_Group,ln,Warner_Music_Group,Company
10.919306,-6.437269,Walt_Disney_Studios_Motion_Pictures,en,Walt_Disney_Studios_Motion_Pictures,Company
22.991951,-55.20552,Русский_язык,ln,Russian_language,Book
10.034482,-6.2543135,United_Artists,en,United_Artists,Company
-16.054441,-66.03155,Португалия,ln,Portugal,Country
-16.648184,-66.03461,Argentina,en,Аргентина,Country
1.569796,53.433445,The_Beatles,ln,The_Beatles,Band
-4.332907,-62.405426,Czechoslovakia,en,Чехословакия,Country
-15.521285,-66.01954,Колумбия,ln,Colombia,Country
-16.439178,-66.30911,Colombia,en,Колумбия,Country
-7.1669207,-64.04681,Болгария,ln,Bulgaria,Country
5.7805967,54.246593,Linkin_Park,en,Linkin_Park,Band
7.0824113,-3.5486217,Universal_Music_Group,ln,Universal_Music_Group,Company
-4.847665,-63.01552,Hungary,en,Венгрия,Country
0.6668921,52.14971,"Мартин,_Джордж_Генри",ln,George_Martin,MusicalArtist
-2.188708,-60.469208,Ukraine,en,Украина,Country
-2.262469,-65.42993,Швеция,ln,Sweden,Country
1.277437,53.60692,David_Bowie,en,"Боуи,_Дэвид",Person
22.95875,-55.1663,Японский_язык,ln,Japanese_language,Book
-2.1775334,-60.352535,Russian_Empire,en,Российская_империя,Country
0.61820686,52.007042,"Харрисон,_Джордж",ln,George_Harrison,MusicalArtist
-2.1890006,-65.353065,Stockholm,en,Стокгольм,Settlement
-1.4189466,-71.24324,Канада,ln,Canada,Country
8.88203,-17.418509,World_War_II,en,Вторая_мировая_война,MilitaryConflict
-1.6378062,-61.74301,Эстония,ln,Estonia,Country
7.0967674,-3.5411353,Universal_Music_Group,en,Universal_Music_Group,Company
-5.6146126,-63.36353,Румыния,ln,Romania,Country
-3.1239088,-64.607994,Norway,en,Норвегия,Country
-13.558482,-62.568,Каталония,ln,Catalonia,AdministrativeRegion
7.9064727,54.242043,Metallica,en,Metallica,Band
-2.7864316,-61.21005,Польша,ln,Poland,Country
-2.2478702,-71.47459,Australia,en,Австралия,Country
-12.886567,-62.048965,Аквитания_(регион),ln,Aquitaine,AdministrativeRegion
-16.630224,-65.88542,Chile,en,Чили,Country
54.252045,-35.711716,Оскар_(кинопремия),ln,Academy_Awards,Book
3.3596084,52.417244,Depeche_Mode,en,Depeche_Mode,Band
-48.322266,-27.81702,Гранж,ln,Grunge,Book
-7.7790513,-64.041954,Bulgaria,en,Болгария,Country
-3.7255063,62.4049,Dr._Dre,ln,Dr._Dre,MusicalArtist
-10.152554,-61.75533,Lombardy,en,Ломбардия,AdministrativeRegion
-3.3253665,-64.59945,Норвегия,ln,Norway,Country
-6.2226686,-62.78989,Belgium,en,Бельгия,Country
10.457184,-6.562193,New_Line_Cinema,ln,New_Line_Cinema,Company
-4.8641725,59.169853,Max_Martin,en,Макс_Мартин,MusicalArtist
-4.437675,59.141632,Dr._Luke,ln,Dr._Luke,MusicalArtist
-5.4878116,-61.89886,Vienna,en,Вена,City
7.0329757,-3.581621,Sony_Music_Entertainment,ln,Sony_Music_Entertainment,Company
-4.3415723,-62.375443,Prague,en,Прага,City
-7.15299,-64.762794,Греция,ln,Greece,Country
-8.584405,-64.34295,Greece,en,Греция,Country
-5.8063684,-63.268368,Нидерланды,ln,Netherlands,Country
6.883244,60.220573,ABBA,en,ABBA,Band
-15.410535,-66.22129,Мексика,ln,Mexico,Country
7.05,-3.5759058,Sony_Music_Entertainment,en,Sony_Music_Entertainment,Company
-12.834579,-61.939926,Корсика,ln,Corsica,AdministrativeRegion
-16.674923,-66.05769,Uruguay,en,Уругвай,Country
-3.1991,62.402576,Эминем,ln,Eminem,MusicalArtist
0.5692484,51.95503,George_Martin,en,"Мартин,_Джордж_Генри",MusicalArtist
-13.539602,-62.425415,Арагон,ln,Aragon,AdministrativeRegion
6.882725,60.257416,Björn_Ulvaeus,en,"Ульвеус,_Бьорн",Person
3.337836,52.38656,Depeche_Mode,ln,Depeche_Mode,Band
6.8820257,60.25678,Benny_Andersson,en,"Андерссон,_Бенни",Person
1.1264277,-59.336758,Казахстан,ln,Kazakhstan,Country
-9.224629,-61.46631,Rome,en,Рим,Settlement
-31.577139,52.390694,"Родригес,_Роберт",ln,Robert_Rodriguez,Artist
-2.1638508,-60.353146,Moscow,en,Москва,AdministrativeRegion
5.779815,54.243095,Linkin_Park,ln,Linkin_Park,Band
0.16237332,52.602436,Elvis_Presley,en,"Пресли,_Элвис",Person
7.0588713,-3.5789971,Sony_BMG,ln,Sony_BMG,Company
-3.6518645,62.406506,Dr._Dre,en,Dr._Dre,MusicalArtist
-13.88259,-62.625343,Валенсия_(автономное_сообщество),ln,Valencian_Community,AdministrativeRegion
2.3450022,47.85427,Marilyn_Manson_(band),en,Marilyn_Manson,Band
10.195706,-6.280955,Universal_Studios,ln,Universal_Studios,Company
1.1814553,-59.27284,Kazakhstan,en,Казахстан,Country
-5.71867,-63.69843,Австрия,ln,Austria,Country
-5.465084,-61.404343,Berlin,en,Берлин,Band
-48.191147,-27.828686,Металкор,ln,Metalcore,Book
-7.006627,-63.06765,Serbia,en,Сербия,Country
-12.870398,-61.987446,Лотарингия,ln,Lorraine,AdministrativeRegion
-5.470986,-63.255077,Romania,en,Румыния,Country
6.8816357,60.252155,"Андерссон,_Бенни",ln,Benny_Andersson,MusicalArtist
-16.716076,-66.04227,Montevideo,en,Монтевидео,City
-32.314316,52.105675,"Спилберг,_Стивен",ln,Steven_Spielberg,Artist
3.362779,50.659084,Pet_Shop_Boys,en,Pet_Shop_Boys,Band
-15.905851,-66.053535,Парагвай,ln,Paraguay,Country
-1.5936877,58.587276,Madonna_(entertainer),en,Мадонна_(певица),Person
0.49290437,74.46822,Мёрт_и_Мозель,ln,Meurthe-et-Moselle,AdministrativeRegion
-6.382852,22.297039,AKB48,en,AKB48,Band
10.160237,-6.168411,Miramax_Films,ln,Miramax,Company
-14.189318,-62.943882,Catalonia,en,Каталония,Settlement
-1.9743582,-70.718796,Ирландия,ln,Republic_of_Ireland,Country
-3.4812753,62.371185,Snoop_Dogg,en,Snoop_Dogg,MusicalArtist
-0.08671033,73.887474,Атлантические_Пиренеи,ln,Pyrénées-Atlantiques,AdministrativeRegion
-7.7678595,-64.9811,Istanbul,en,Стамбул,City
-0.7459403,-59.998543,Азербайджан,ln,Azerbaijan,Country
4.6898975,55.186653,U2,en,U2,Band
-4.5818763,-62.680954,Чехия,ln,Czech_Republic,Country
-2.8141735,59.794178,Britney_Spears,en,"Спирс,_Бритни",Person
2.6508026,-64.42205,Бангладеш,ln,Bangladesh,Country
-1.8009434,31.682377,Rammstein,en,Rammstein,Band
9.8296585,-6.2166963,United_Artists,ln,United_Artists,Company
-5.84533,-63.05637,Netherlands,en,Нидерланды,Country
6.8818703,60.21631,ABBA,ln,ABBA,Band
-4.613754,59.149105,Dr._Luke,en,Dr._Luke,MusicalArtist
22.071493,-54.026012,Хинди,ln,Hindi,Book
6.774858,51.370834,Nine_Inch_Nails,en,Nine_Inch_Nails,Band
6.8814235,60.250668,"Ульвеус,_Бьорн",ln,Björn_Ulvaeus,MusicalArtist
10.42717,-6.5518823,New_Line_Cinema,en,New_Line_Cinema,Company
-1.1080179,-70.6316,Лос-Анджелес,ln,Los_Angeles,PopulatedPlace
-2.843992,-64.71558,Denmark,en,Дания,Album
-0.4384155,73.35048,Верхняя_Гаронна,ln,Haute-Garonne,AdministrativeRegion
7.1234274,-3.544015,Warner_Music_Group,en,Warner_Music_Group,Company
-0.090587065,52.29266,"Пресли,_Элвис",ln,Elvis_Presley,MusicalArtist
-1.3669604,-71.4418,Canada,en,Канада,Country
-16.63739,-65.21608,Перу,ln,Peru,Country
-4.816074,-63.009865,Budapest,en,Будапешт,City
-3.5416048,-64.610985,Дания,ln,Denmark,Country
-0.6651856,-60.035793,Azerbaijan,en,Азербайджан,Country
4.673717,55.20263,U2,ln,U2,Band
0.6177338,52.092457,Ringo_Starr,en,Ринго_Старр,MusicalArtist
10.19328,-6.4506893,Touchstone_Pictures,ln,Touchstone_Pictures,Company
4.537176,53.270714,Iron_Maiden,en,Iron_Maiden,Band
2.0727503,52.477627,Принс,ln,Prince_(musician),MusicalArtist
-4.540828,-66.56742,China,en,Китайская_Народная_Республика,Country
-9.997454,-65.92712,Гана,ln,Ghana,Country
-0.0018870446,-64.89548,South_Korea,en,Республика_Корея,Country
-0.418905,73.783,Эна_(департамент),ln,Aisne,AdministrativeRegion
-31.36485,56.024532,Robert_Rodriguez,en,"Родригес,_Роберт",Person
-7.369356,-65.167435,Турция,ln,Turkey,Country
-2.044221,59.68544,Michael_Jackson,en,"Джексон,_Майкл",MusicalArtist
0.49834955,51.79853,Ринго_Старр,ln,Ringo_Starr,MusicalArtist
2.6721299,-64.4022,Bangladesh,en,Бангладеш,Country
-6.289955,-65.04793,Израиль,ln,Israel,Country
-2.4343832,61.34149,Kanye_West,en,"Уэст,_Канье",Person
0.4063478,73.946,Верхний_Рейн,ln,Haut-Rhin,AdministrativeRegion
4.399415,50.273304,Green_Day,en,Green_Day,Band
-12.557938,-62.525703,Харьюмаа,ln,Harju_County,AdministrativeRegion
6.1805224,53.799923,Black_Sabbath,en,Black_Sabbath,Band
-6.304895,-63.897896,Париж,ln,Paris,PopulatedPlace
22.913044,-55.119488,German_language,en,Немецкий_язык,Language
