x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-9.366312,76.06375,0,7,France,Франция,en,Country
10.339136,-16.585121,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
10.322417,-16.615028,2,1,United_States,Соединённые_Штаты_Америки,en,Country
-37.197186,-11.635631,3,4,Хард-рок,Hard_rock,ln,MusicGenre
-37.187088,-11.615961,4,3,Hard_rock,Хард-рок,en,MusicGenre
-27.118687,-31.395563,5,6,Рок-музыка,Rock_music,ln,MusicGenre
-27.096827,-31.39481,6,5,Rock_music,Рок-музыка,en,MusicGenre
40.332317,-27.668512,7,0,Франция,France,ln,Country
3.2924585,35.320496,8,23,Spain,Испания,en,Country
-41.259792,-24.303877,9,16,EMI,EMI,ln,Company
51.64095,-27.552528,10,15,Italy,Италия,en,Country
10.221314,-16.140644,11,36,Великобритания,United_Kingdom,ln,Country
9.782972,-15.787735,12,59,London,Лондон,en,Settlement
-26.818897,-30.716797,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
15.294842,-36.49288,14,25,Warner_Bros.,Warner_Bros.,en,Company
51.58979,-27.637657,15,10,Италия,Italy,ln,Country
-41.257156,-24.291815,16,9,EMI,EMI,en,Company
-37.222366,-11.692679,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-27.825775,38.199184,18,39,India,Индия,en,Country
-33.88622,24.861494,19,30,Япония,Japan,ln,Country
9.857734,-16.621454,20,29,New_York_City,Нью-Йорк,en,City
21.626625,25.931261,21,42,Бразилия,Brazil,ln,Country
24.162125,-4.606376,22,31,Germany,Германия,en,Country
16.177763,33.871914,23,8,Испания,Spain,ln,Country
49.620064,15.088054,24,109,Poland,Польша,en,Country
15.3193035,-36.479836,25,14,Warner_Bros.,Warner_Bros.,ln,Company
14.740972,-36.954163,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
-26.074986,-36.28425,27,48,Кантри,Country_music,ln,MusicGenre
9.873227,-16.809553,28,187,Los_Angeles,Лос-Анджелес,en,City
9.925362,-16.618881,29,20,Нью-Йорк,New_York_City,ln,City
-33.87791,24.781633,30,19,Japan,Япония,en,Country
24.176981,-4.5815506,31,22,Германия,Germany,ln,Country
-37.234688,-11.704673,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
14.816474,-36.941235,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
14.296342,-36.650654,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
14.336768,-36.6029,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
9.821273,-15.752547,36,11,United_Kingdom,Великобритания,en,Country
-49.507534,9.692933,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
14.900247,-38.055077,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-27.82878,38.206352,39,18,Индия,India,ln,Country
21.070477,-41.36799,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
29.552114,-6.437369,41,218,Немецкий_язык,German_language,ln,Language
21.53455,25.999168,42,21,Brazil,Бразилия,en,Country
55.206993,5.28981,43,98,Российская_империя,Russian_Empire,ln,Country
-32.507347,-20.419464,44,67,Queen_(band),Queen,en,Band
-29.828287,8.41084,45,78,Блэк-метал,Black_metal,ln,MusicGenre
-26.695452,-30.856073,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
29.341293,30.02949,47,84,Аргентина,Argentina,ln,Country
-27.062164,-31.597616,48,27,Country_music,Кантри,en,MusicGenre
19.532713,30.625154,49,112,Чили,Chile,ln,Country
57.0035,7.212265,50,231,Russia,Россия,en,Country
-11.329329,51.6048,51,72,Узбекистан,Uzbekistan,ln,Country
41.632767,-1.5257984,52,95,Sweden,Швеция,en,Country
10.407071,51.52249,53,58,Османская_империя,Ottoman_Empire,ln,Country
-53.427208,48.652737,54,103,Estonia,Эстония,en,Country
14.953235,-38.086647,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
-42.87511,-33.196167,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
10.758358,-11.967112,57,110,Австралия,Australia,ln,Country
10.340044,51.47525,58,53,Ottoman_Empire,Османская_империя,en,Country
9.802177,-15.812605,59,12,Лондон,London,ln,Settlement
-49.542126,9.731397,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
-31.913603,-40.677032,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
40.338093,-27.668158,62,217,Paris,Париж,en,Settlement
40.78799,-11.335753,63,120,Бельгия,Belgium,ln,Country
-29.302654,-30.879475,64,85,The_Beatles,The_Beatles,en,Band
35.075546,26.83053,65,134,Уругвай,Uruguay,ln,Country
28.057915,-58.85493,66,151,Universal_Studios,Universal_Studios,en,Company
-32.310596,-20.454346,67,44,Queen,Queen_(band),ln,Band
-15.291525,-40.993362,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
45.025818,8.878776,69,86,Чехословакия,Czechoslovakia,ln,Country
-40.828754,-25.845396,70,135,Eminem,Эминем,en,MusicalArtist
21.10566,-41.406864,71,40,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,ln,Company
-11.38127,51.664043,72,51,Uzbekistan,Узбекистан,en,Country
16.126461,34.056515,73,228,Испанский_язык,Spanish_language,ln,Language
-25.859201,-51.677044,74,219,Mariah_Carey,"Кэри,_Мэрайя",en,MusicalArtist
4.18394,10.841818,75,92,Венгрия,Hungary,ln,Country
21.048454,76.245895,76,153,Austria,Австрия,en,Country
12.897333,41.297848,77,118,Ломбардия,Lombardy,ln,AdministrativeRegion
-29.848717,8.4330845,78,45,Black_metal,Блэк-метал,en,MusicGenre
-51.359955,-39.12533,79,190,Warner_Music_Group,Warner_Music_Group,ln,Company
28.32911,-60.69743,80,1053,Walt_Disney_Studios_Motion_Pictures,Walt_Disney_Studios_Motion_Pictures,en,Company
-6.0945096,-28.51136,81,234,Русский_язык,Russian_language,ln,Language
27.320993,-59.186127,82,179,United_Artists,United_Artists,en,Company
14.495556,32.094337,83,302,Португалия,Portugal,ln,Country
29.31419,30.155813,84,47,Argentina,Аргентина,en,Country
-29.216368,-30.952751,85,64,The_Beatles,The_Beatles,ln,Band
44.487602,8.889404,86,69,Czechoslovakia,Чехословакия,en,Country
34.048626,31.929289,87,88,Колумбия,Colombia,ln,Country
51.690197,41.77651,88,87,Colombia,Колумбия,en,Country
70.03,8.54039,89,116,Болгария,Bulgaria,ln,Country
-42.917683,-30.719353,90,145,Linkin_Park,Linkin_Park,en,Band
-51.467773,-38.8958,91,104,Universal_Music_Group,Universal_Music_Group,ln,Company
4.193187,10.818789,92,75,Hungary,Венгрия,en,Country
-28.858463,-31.421213,93,136,"Мартин,_Джордж_Генри",George_Martin,ln,MusicalArtist
47.602882,20.086788,94,279,Ukraine,Украина,en,Country
41.29166,-1.1951518,95,52,Швеция,Sweden,ln,Country
-14.908094,-21.729315,96,403,David_Bowie,"Боуи,_Дэвид",en,MusicalArtist
-39.64127,28.127396,97,1052,Японский_язык,Japanese_language,ln,Language
55.030296,5.2026763,98,43,Russian_Empire,Российская_империя,en,Country
-15.316263,-40.979233,99,68,"Харрисон,_Джордж",George_Harrison,ln,MusicalArtist
41.190613,-1.095046,100,305,Stockholm,Стокгольм,en,Settlement
10.906538,-70.53027,101,192,Канада,Canada,ln,Country
