x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-17.863684,76.93559,0,7,France,Франция,en,Country
36.557392,-49.904278,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
36.519016,-50.015278,2,1,United_States,Соединённые_Штаты_Америки,en,Country
9.600012,-62.926476,3,4,Хард-рок,Hard_rock,ln,MusicGenre
9.610481,-62.972725,4,3,Hard_rock,Хард-рок,en,MusicGenre
9.772206,-62.794697,5,6,Рок-музыка,Rock_music,ln,MusicGenre
9.511758,-62.798725,6,5,Rock_music,Рок-музыка,en,MusicGenre
40.14741,-1.7847949,7,0,Франция,France,ln,Country
53.16056,33.298138,8,23,Spain,Испания,en,Country
11.453733,-63.68439,9,16,EMI,EMI,ln,Company
43.147316,7.2159295,10,15,Italy,Италия,en,Country
36.29083,-51.934677,11,36,Великобритания,United_Kingdom,ln,Country
55.28651,-22.37542,12,59,London,Лондон,en,Settlement
-7.0064883,-42.771843,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
22.1787,-44.361065,14,25,Warner_Bros.,Warner_Bros.,en,Company
43.221638,7.193034,15,10,Италия,Italy,ln,Country
11.471592,-63.70573,16,9,EMI,EMI,en,Company
9.258943,-62.751965,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-64.169586,20.501514,18,39,India,Индия,en,Country
-61.422573,0.60155886,19,30,Япония,Japan,ln,Country
19.305294,-50.219208,20,29,New_York_City,Нью-Йорк,en,City
42.45662,23.974154,21,42,Бразилия,Brazil,ln,Country
21.798319,21.251907,22,31,Germany,Германия,en,Country
53.171944,33.144196,23,8,Испания,Spain,ln,Country
0.5022208,27.545736,24,109,Poland,Польша,en,Country
22.190239,-44.350723,25,14,Warner_Bros.,Warner_Bros.,ln,Company
20.332958,-35.558567,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
8.366792,-62.496964,27,48,Кантри,Country_music,ln,MusicGenre
15.340637,-35.102215,28,187,Los_Angeles,Лос-Анджелес,en,City
32.10961,-54.736736,29,20,Нью-Йорк,New_York_City,ln,City
-61.410244,0.59054977,30,19,Japan,Япония,en,Country
21.760868,21.220682,31,22,Германия,Germany,ln,Country
9.26937,-62.764065,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
20.33277,-35.60567,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
20.874794,-48.51445,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
20.888186,-48.49741,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
52.15484,-3.111287,36,11,United_Kingdom,Великобритания,en,Country
-14.5757265,-70.17891,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
