x,y,ent1_id,ent2_id,ent1,ent2,lang,type
9.404699,11.189326,0,7,France,Франция,en,Country
23.78919,31.47833,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
53.156765,13.745604,2,1,United_States,Соединённые_Штаты_Америки,en,Country
54.154915,-19.95103,3,4,Хард-рок,Hard_rock,ln,MusicGenre
54.738434,-19.71711,4,3,Hard_rock,Хард-рок,en,MusicGenre
53.993504,-20.011164,5,6,Рок-музыка,Rock_music,ln,MusicGenre
54.62741,-19.664387,6,5,Rock_music,Рок-музыка,en,MusicGenre
5.739497,16.473522,7,0,Франция,France,ln,Country
-7.1786647,53.69089,8,23,Spain,Испания,en,Country
54.22955,-20.020187,9,16,EMI,EMI,ln,Company
0.91474533,23.47013,10,15,Italy,Италия,en,Country
23.389198,31.411274,11,36,Великобритания,United_Kingdom,ln,Country
50.01617,-16.547785,12,59,London,Лондон,en,Settlement
49.701675,-16.984869,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
53.34013,7.9937468,14,25,Warner_Bros.,Warner_Bros.,en,Company
2.8943002,21.887589,15,10,Италия,Italy,ln,Country
54.185486,-19.980614,16,9,EMI,EMI,en,Company
49.2775,-17.242107,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-36.904797,-49.951977,18,39,India,Индия,en,Country
-12.561326,-53.526546,19,30,Япония,Japan,ln,Country
47.420067,5.998284,20,29,New_York_City,Нью-Йорк,en,City
-15.513958,50.23608,21,42,Бразилия,Brazil,ln,Country
-7.4063067,16.799858,22,31,Germany,Германия,en,Country
-23.835844,54.7877,23,8,Испания,Spain,ln,Country
-34.54826,4.5549164,24,109,Poland,Польша,en,Country
53.352528,7.9919186,25,14,Warner_Bros.,Warner_Bros.,ln,Company
36.680668,25.086508,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
53.68328,-20.613827,27,48,Кантри,Country_music,ln,MusicGenre
8.335643,63.031452,28,187,Los_Angeles,Лос-Анджелес,en,City
23.602243,30.934925,29,20,Нью-Йорк,New_York_City,ln,City
-11.234105,-54.307854,30,19,Japan,Япония,en,Country
-11.361382,14.147984,31,22,Германия,Germany,ln,Country
54.55355,-19.69631,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
36.653217,25.10535,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
38.19351,27.103376,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
38.09775,27.173119,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
37.307514,5.2765627,36,11,United_Kingdom,Великобритания,en,Country
19.327265,-45.534977,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
38.328842,27.02399,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-36.378128,-48.370327,39,18,Индия,India,ln,Country
43.544575,12.518717,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
22.81848,45.397293,41,218,Немецкий_язык,German_language,ln,Language
-1.2234771,50.977844,42,21,Brazil,Бразилия,en,Country
-29.7974,25.489536,43,98,Российская_империя,Russian_Empire,ln,Country
38.97351,-24.113857,44,67,Queen_(band),Queen,en,Band
6.842753,-47.07048,45,78,Блэк-метал,Black_metal,ln,MusicGenre
56.345383,-13.907201,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
-14.832579,65.58882,47,84,Аргентина,Argentina,ln,Country
53.955395,-20.443062,48,27,Country_music,Кантри,en,MusicGenre
-15.599859,62.585266,49,112,Чили,Chile,ln,Country
-21.797066,22.23653,50,231,Russia,Россия,en,Country
-69.07039,-3.0135863,51,72,Узбекистан,Uzbekistan,ln,Country
17.36525,11.776984,52,95,Sweden,Швеция,en,Country
-53.251476,40.088787,53,58,Османская_империя,Ottoman_Empire,ln,Country
-46.311947,-7.758759,54,103,Estonia,Эстония,en,Country
38.283463,27.150795,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
64.275566,-23.11401,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
-1.1612098,-14.89798,57,110,Австралия,Australia,ln,Country
-55.33151,38.551987,58,53,Ottoman_Empire,Османская_империя,en,Country
23.426033,31.440996,59,12,Лондон,London,ln,Settlement
55.183292,-20.144285,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
43.809357,-34.17178,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
9.517365,11.315577,62,217,Paris,Париж,en,Settlement
-11.299468,20.862293,63,120,Бельгия,Belgium,ln,Country
47.72649,-18.87425,64,85,The_Beatles,The_Beatles,en,Band
-18.181524,58.681023,65,134,Уругвай,Uruguay,ln,Country
50.743355,37.41777,66,151,Universal_Studios,Universal_Studios,en,Company
38.97307,-24.185831,67,44,Queen,Queen_(band),ln,Band
50.706238,-18.813145,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
-34.397827,12.740279,69,86,Чехословакия,Czechoslovakia,ln,Country
30.2805,-34.71113,70,135,Eminem,Эминем,en,MusicalArtist
34.01545,37.09155,71,40,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,ln,Company
-70.05489,-0.033008114,72,51,Uzbekistan,Узбекистан,en,Country
22.847303,45.426468,73,228,Испанский_язык,Spanish_language,ln,Language
59.90274,-23.894789,74,219,Mariah_Carey,"Кэри,_Мэрайя",en,MusicalArtist
-44.902443,5.903297,75,92,Венгрия,Hungary,ln,Country
-15.072305,8.627659,76,153,Austria,Австрия,en,Country
-36.946392,-20.002848,77,118,Ломбардия,Lombardy,ln,AdministrativeRegion
7.0070868,-47.36518,78,45,Black_metal,Блэк-метал,en,MusicGenre
64.51886,-28.039576,79,190,Warner_Music_Group,Warner_Music_Group,ln,Company
52.75393,37.85518,80,1053,Walt_Disney_Studios_Motion_Pictures,Walt_Disney_Studios_Motion_Pictures,en,Company
-31.052252,27.728668,81,234,Русский_язык,Russian_language,ln,Language
52.371784,13.834576,82,179,United_Artists,United_Artists,en,Company
-19.993073,48.28974,83,302,Португалия,Portugal,ln,Country
0.073493004,61.957005,84,47,Argentina,Аргентина,en,Country
47.959522,-18.884111,85,64,The_Beatles,The_Beatles,ln,Band
-37.08424,13.515303,86,69,Czechoslovakia,Чехословакия,en,Country
-28.984364,64.98607,87,88,Колумбия,Colombia,ln,Country
-5.859981,65.51094,88,87,Colombia,Колумбия,en,Country
-49.841892,17.794783,89,116,Болгария,Bulgaria,ln,Country
28.435928,-38.32103,90,145,Linkin_Park,Linkin_Park,en,Band
64.514435,-28.09758,91,104,Universal_Music_Group,Universal_Music_Group,ln,Company
-44.879276,5.8723526,92,75,Hungary,Венгрия,en,Country
65.121155,-24.654844,93,136,"Мартин,_Джордж_Генри",George_Martin,ln,MusicalArtist
-37.662888,34.206306,94,279,Ukraine,Украина,en,Country
17.793148,11.964567,95,52,Швеция,Sweden,ln,Country
51.208195,-13.048154,96,403,David_Bowie,"Боуи,_Дэвид",en,MusicalArtist
22.85791,14.936474,97,1052,Японский_язык,Japanese_language,ln,Language
-5.6281886,34.32671,98,43,Russian_Empire,Российская_империя,en,Country
52.35064,-19.703217,99,68,"Харрисон,_Джордж",George_Harrison,ln,MusicalArtist
61.131832,7.6065435,100,305,Stockholm,Стокгольм,en,Settlement
48.42357,43.46283,101,192,Канада,Canada,ln,Country
-4.714838,33.579124,102,233,World_War_II,Вторая_мировая_война,en,MilitaryConflict
-46.46576,-8.743355,103,54,Эстония,Estonia,ln,Country
54.647106,-20.086397,104,91,Universal_Music_Group,Universal_Music_Group,en,Company
-45.52899,21.406748,105,158,Румыния,Romania,ln,Country
2.3103063,-47.156498,106,119,Norway,Норвегия,en,Country
-6.5889244,46.56461,107,168,Каталония,Catalonia,ln,PopulatedPlace
33.93333,-34.70705,108,291,Metallica,Metallica,en,Band
-37.047802,3.855152,109,24,Польша,Poland,ln,Country
54.153713,13.897467,110,57,Australia,Австралия,en,Country
-64.99584,-27.854448,111,242,Аквитания_(регион),Aquitaine,ln,AdministrativeRegion
2.4966981,61.84052,112,49,Chile,Чили,en,Country
45.844173,40.73039,113,27294,Оскар_(кинопремия),Academy_Awards,ln,Award
56.07633,-41.458885,114,139,Depeche_Mode,Depeche_Mode,en,Band
67.63892,-25.63806,115,220,Гранж,Grunge,ln,MusicGenre
-49.94238,17.755865,116,89,Bulgaria,Болгария,en,Country
56.66258,-28.933279,117,148,Dr._Dre,Dr._Dre,ln,MusicalArtist
-32.93388,-19.684143,118,77,Lombardy,Ломбардия,en,AdministrativeRegion
2.28856,-47.171932,119,106,Норвегия,Norway,ln,Country
11.74089,51.242584,120,63,Belgium,Бельгия,en,Country
48.189957,40.197598,121,186,New_Line_Cinema,New_Line_Cinema,ln,Company
61.3126,-30.199602,122,61,Max_Martin,Макс_Мартин,en,MusicalArtist
