x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-39.84765,66.13692,0,7,France,Франция,en,Country
57.31123,-11.103889,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
57.25225,-11.093754,2,1,United_States,Соединённые_Штаты_Америки,en,Country
32.997547,-42.578136,3,4,Хард-рок,Hard_rock,ln,MusicGenre
33.02033,-42.59458,4,3,Hard_rock,Хард-рок,en,MusicGenre
33.381218,-43.01243,5,6,Рок-музыка,Rock_music,ln,MusicGenre
33.36618,-42.975662,6,5,Rock_music,Рок-музыка,en,MusicGenre
19.972826,30.517935,7,0,Франция,France,ln,Country
-15.060019,52.079407,8,23,Spain,Испания,en,Country
5.1291685,-51.65846,9,16,EMI,EMI,ln,Company
-2.8221507,41.305847,10,15,Italy,Италия,en,Country
57.191216,-11.279754,11,36,Великобритания,United_Kingdom,ln,Country
31.54737,-22.640259,12,59,London,Лондон,en,Settlement
32.083073,-40.930126,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
41.58971,-5.079811,14,25,Warner_Bros.,Warner_Bros.,en,Company
-2.8019388,41.29576,15,10,Италия,Italy,ln,Country
5.1135077,-51.654957,16,9,EMI,EMI,en,Company
32.71684,-42.235287,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-51.46862,-41.50052,18,39,India,Индия,en,Country
-32.6515,-16.63275,19,30,Япония,Japan,ln,Country
49.969368,-16.184912,20,29,New_York_City,Нью-Йорк,en,City
1.8003265,62.1847,21,42,Бразилия,Brazil,ln,Country
-6.102658,16.040504,22,31,Germany,Германия,en,Country
-14.904635,52.217495,23,8,Испания,Spain,ln,Country
-37.00176,3.7186944,24,109,Poland,Польша,en,Country
41.504375,-4.963389,25,14,Warner_Bros.,Warner_Bros.,ln,Company
41.91792,-7.2315426,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
36.524372,-52.010006,27,48,Кантри,Country_music,ln,MusicGenre
35.356983,-5.3497167,28,187,Los_Angeles,Лос-Анджелес,en,City
49.997177,-16.171087,29,20,Нью-Йорк,New_York_City,ln,City
-32.643635,-16.626604,30,19,Japan,Япония,en,Country
-6.071159,16.20616,31,22,Германия,Germany,ln,Country
32.772476,-42.275204,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
41.862858,-7.171765,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
41.74576,-6.0336924,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
41.71817,-6.030251,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
16.345642,-6.568441,36,11,United_Kingdom,Великобритания,en,Country
-15.516814,-34.26488,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
42.09681,-6.078844,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-51.461914,-41.52522,39,18,Индия,India,ln,Country
42.723743,-5.1247177,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
-5.8190727,15.442672,41,218,Немецкий_язык,German_language,ln,Language
1.7145675,61.93517,42,21,Brazil,Бразилия,en,Country
-43.17295,12.963484,43,98,Российская_империя,Russian_Empire,ln,Country
10.496876,-43.193058,44,67,Queen_(band),Queen,en,Band
-16.960253,-16.914772,45,78,Блэк-метал,Black_metal,ln,MusicGenre
32.802113,-41.122353,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
16.431993,56.55172,47,84,Аргентина,Argentina,ln,Country
36.503242,-52.01925,48,27,Country_music,Кантри,en,MusicGenre
12.318032,54.582287,49,112,Чили,Chile,ln,Country
-43.35709,12.842682,50,231,Russia,Россия,en,Country
-55.19679,-22.535349,51,72,Узбекистан,Uzbekistan,ln,Country
-13.581238,21.86063,52,95,Sweden,Швеция,en,Country
-60.02986,-2.2274237,53,58,Османская_империя,Ottoman_Empire,ln,Country
-79.179405,1.8585688,54,103,Estonia,Эстония,en,Country
42.189663,-6.1362705,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
4.144989,-74.35502,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
46.724594,37.883205,57,110,Австралия,Australia,ln,Country
-60.059456,-2.194175,58,53,Ottoman_Empire,Османская_империя,en,Country
31.552649,-22.638058,59,12,Лондон,London,ln,Settlement
-15.518744,-34.29037,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
44.791313,-34.22053,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
20.190584,30.81178,62,217,Paris,Париж,en,Settlement
8.083823,29.40494,63,120,Бельгия,Belgium,ln,Country
37.69597,-44.90374,64,85,The_Beatles,The_Beatles,en,Band
15.380439,63.797474,65,134,Уругвай,Uruguay,ln,Country
62.237305,-9.952508,66,151,Universal_Studios,Universal_Studios,en,Company
10.833266,-43.325783,67,44,Queen,Queen_(band),ln,Band
28.141497,-31.956608,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
