x,y,ent1_id,ent2_id,ent1,ent2,lang,type
-67.234604,0.6135,0,7,France,Франция,en,Country
53.466854,-9.738695,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
53.471447,-9.749878,2,1,United_States,Соединённые_Штаты_Америки,en,Country
42.330574,-36.634155,3,4,Хард-рок,Hard_rock,ln,MusicGenre
42.31939,-36.579865,4,3,Hard_rock,Хард-рок,en,MusicGenre
42.483597,-36.478786,5,6,Рок-музыка,Rock_music,ln,MusicGenre
42.37396,-36.490414,6,5,Rock_music,Рок-музыка,en,MusicGenre
30.077532,31.23032,7,0,Франция,France,ln,Country
-9.039748,52.190285,8,23,Spain,Испания,en,Country
39.997204,-36.5226,9,16,EMI,EMI,ln,Company
4.9296017,38.926414,10,15,Italy,Италия,en,Country
59.878094,-4.221676,11,36,Великобритания,United_Kingdom,ln,Country
43.039433,-2.579512,12,59,London,Лондон,en,Settlement
38.961178,-32.30882,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
34.94176,5.8365335,14,25,Warner_Bros.,Warner_Bros.,en,Company
4.9329967,39.020336,15,10,Италия,Italy,ln,Country
39.596016,-36.438698,16,9,EMI,EMI,en,Company
41.354893,-36.36417,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
-47.896976,-41.740894,18,39,India,Индия,en,Country
-30.296158,-55.4842,19,30,Япония,Japan,ln,Country
51.871033,-14.511038,20,29,New_York_City,Нью-Йорк,en,City
-0.79343367,71.25094,21,42,Бразилия,Brazil,ln,Country
-5.457005,21.790382,22,31,Germany,Германия,en,Country
-8.595959,52.259506,23,8,Испания,Spain,ln,Country
-22.501955,12.257237,24,109,Poland,Польша,en,Country
34.930492,5.841076,25,14,Warner_Bros.,Warner_Bros.,ln,Company
39.130333,-0.70710117,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
39.210293,-33.871807,27,48,Кантри,Country_music,ln,MusicGenre
40.837734,-1.3266182,28,187,Los_Angeles,Лос-Анджелес,en,City
51.890614,-14.515531,29,20,Нью-Йорк,New_York_City,ln,City
-30.23484,-55.408768,30,19,Japan,Япония,en,Country
-5.410343,21.795992,31,22,Германия,Germany,ln,Country
41.41232,-36.3764,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
39.130413,-0.70654494,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
39.83456,0.6836486,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
39.831276,0.65939397,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
20.569405,-4.2574644,36,11,United_Kingdom,Великобритания,en,Country
43.290794,-45.868195,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
39.92698,0.74290335,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
-47.88348,-41.782063,39,18,Индия,India,ln,Country
43.1653,0.4689214,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
-5.4307404,22.108187,41,218,Немецкий_язык,German_language,ln,Language
-1.1226358,70.663605,42,21,Brazil,Бразилия,en,Country
-30.882244,24.310745,43,98,Российская_империя,Russian_Empire,ln,Country
5.1878667,-33.58636,44,67,Queen_(band),Queen,en,Band
-18.26841,-41.78847,45,78,Блэк-метал,Black_metal,ln,MusicGenre
42.39624,-36.13389,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
4.2229986,58.09664,47,84,Аргентина,Argentina,ln,Country
39.181786,-33.915314,48,27,Country_music,Кантри,en,MusicGenre
2.540016,62.733192,49,112,Чили,Chile,ln,Country
-30.827621,23.581282,50,231,Russia,Россия,en,Country
-53.202396,-9.536591,51,72,Узбекистан,Uzbekistan,ln,Country
21.380295,42.896904,52,95,Sweden,Швеция,en,Country
-64.51493,29.962091,53,58,Османская_империя,Ottoman_Empire,ln,Country
-55.880512,-29.0651,54,103,Estonia,Эстония,en,Country
39.96691,0.7539338,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
57.660347,-33.069435,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
70.8942,13.003919,57,110,Австралия,Australia,ln,Country
