x,y,ent1_id,ent2_id,ent1,ent2,lang,type
49.84967,-19.283278,0,7,France,Франция,en,Country
45.89735,18.25207,1,2,Соединённые_Штаты_Америки,United_States,ln,Country
47.490196,1.9082102,2,1,United_States,Соединённые_Штаты_Америки,en,Country
66.1437,2.737433,3,4,Хард-рок,Hard_rock,ln,MusicGenre
57.861774,3.9488409,4,3,Hard_rock,Хард-рок,en,MusicGenre
45.076904,-4.953366,5,6,Рок-музыка,Rock_music,ln,MusicGenre
45.00376,-4.990789,6,5,Rock_music,Рок-музыка,en,MusicGenre
48.36068,-16.899696,7,0,Франция,France,ln,Country
47.988853,-18.072704,8,23,Spain,Испания,en,Country
64.43879,2.0934663,9,16,EMI,EMI,ln,Company
10.056458,8.574126,10,15,Italy,Италия,en,Country
39.973763,15.458284,11,36,Великобритания,United_Kingdom,ln,Country
49.61438,-12.901788,12,59,London,Лондон,en,Settlement
44.113194,-2.5850236,13,46,Рок-н-ролл,Rock_and_roll,ln,MusicGenre
16.109491,7.479343,14,25,Warner_Bros.,Warner_Bros.,en,Company
47.976868,-17.616938,15,10,Италия,Italy,ln,Country
47.72079,-15.382397,16,9,EMI,EMI,en,Company
58.364845,3.26996,17,32,Прогрессивный_рок,Progressive_rock,ln,MusicGenre
49.335506,-14.776291,18,39,India,Индия,en,Country
10.536474,8.89092,19,30,Япония,Japan,ln,Country
33.3736,-17.306217,20,29,New_York_City,Нью-Йорк,en,City
10.224492,8.424915,21,42,Бразилия,Brazil,ln,Country
47.822594,-17.876617,22,31,Germany,Германия,en,Country
48.335323,-17.15439,23,8,Испания,Spain,ln,Country
37.39634,-28.755373,24,109,Poland,Польша,en,Country
16.145166,7.464214,25,14,Warner_Bros.,Warner_Bros.,ln,Company
20.187061,-25.922846,26,33,20th_Century_Fox,20th_Century_Fox,en,Company
54.255478,-5.2451253,27,48,Кантри,Country_music,ln,MusicGenre
-30.563885,1.299601,28,187,Los_Angeles,Лос-Анджелес,en,City
18.012798,-6.7818336,29,20,Нью-Йорк,New_York_City,ln,City
10.557858,8.88091,30,19,Japan,Япония,en,Country
58.10865,-3.9520478,31,22,Германия,Germany,ln,Country
44.98256,-5.0572224,32,17,Progressive_rock,Прогрессивный_рок,en,MusicGenre
38.310097,14.798173,33,26,20th_Century_Fox,20th_Century_Fox,ln,Company
42.962067,-26.844809,34,35,Paramount_Pictures,Paramount_Pictures,en,Company
43.032024,-26.800386,35,34,Paramount_Pictures,Paramount_Pictures,ln,Company
34.948418,-6.7041845,36,11,United_Kingdom,Великобритания,en,Country
51.624416,-0.9348792,37,60,Индастриал-метал,Industrial_metal,ln,MusicGenre
42.953854,-26.833256,38,55,Columbia_Pictures,Columbia_Pictures,en,Company
49.43925,-14.721567,39,18,Индия,India,ln,Country
35.319954,3.2318225,40,71,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,en,Company
58.225662,0.568699,41,218,Немецкий_язык,German_language,ln,Language
10.110007,8.522173,42,21,Brazil,Бразилия,en,Country
-6.107848,36.9976,43,98,Российская_империя,Russian_Empire,ln,Country
28.113224,-18.287966,44,67,Queen_(band),Queen,en,Band
40.27041,-12.898373,45,78,Блэк-метал,Black_metal,ln,MusicGenre
49.950138,2.765546,46,13,Rock_and_roll,Рок-н-ролл,en,MusicGenre
48.01209,-16.654408,47,84,Аргентина,Argentina,ln,Country
40.471027,-4.0670805,48,27,Country_music,Кантри,en,MusicGenre
10.532497,8.825074,49,112,Чили,Chile,ln,Country
37.34472,-28.626995,50,231,Russia,Россия,en,Country
17.29254,-25.187546,51,72,Узбекистан,Uzbekistan,ln,Country
47.907192,-18.066597,52,95,Sweden,Швеция,en,Country
20.34679,35.50005,53,58,Османская_империя,Ottoman_Empire,ln,Country
-5.346927,-46.054844,54,103,Estonia,Эстония,en,Country
42.980373,-26.814554,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
33.496582,-16.856598,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
39.54403,-31.522625,57,110,Австралия,Australia,ln,Country
20.346735,35.510544,58,53,Ottoman_Empire,Османская_империя,en,Country
60.024616,-1.298645,59,12,Лондон,London,ln,Settlement
51.50295,-0.95680356,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
43.59951,20.232752,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
10.097813,7.3257947,62,217,Paris,Париж,en,Settlement
58.268044,-3.7693112,63,120,Бельгия,Belgium,ln,Country
52.884216,1.1384995,64,85,The_Beatles,The_Beatles,en,Band
55.970055,-5.7319818,65,134,Уругвай,Uruguay,ln,Country
50.80387,5.8120112,66,151,Universal_Studios,Universal_Studios,en,Company
62.37641,2.7128665,67,44,Queen,Queen_(band),ln,Band
16.504017,-6.7209277,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
40.325916,13.346674,69,86,Чехословакия,Czechoslovakia,ln,Country
-4.368852,-26.771873,70,135,Eminem,Эминем,en,MusicalArtist
66.1513,7.777968,71,40,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,ln,Company
17.265017,-25.238548,72,51,Uzbekistan,Узбекистан,en,Country
58.69486,-2.7905002,73,228,Испанский_язык,Spanish_language,ln,Language
-11.541335,22.652084,74,219,Mariah_Carey,"Кэри,_Мэрайя",en,MusicalArtist
55.495907,-9.186582,75,92,Венгрия,Hungary,ln,Country
10.567922,9.056589,76,153,Austria,Австрия,en,Country
9.297187,-48.513775,77,118,Ломбардия,Lombardy,ln,AdministrativeRegion
40.33363,-12.881925,78,45,Black_metal,Блэк-метал,en,MusicGenre
44.982666,3.9403129,79,190,Warner_Music_Group,Warner_Music_Group,ln,Company
38.43701,4.705788,80,1053,Walt_Disney_Studios_Motion_Pictures,Walt_Disney_Studios_Motion_Pictures,en,Company
53.99584,0.17402652,81,234,Русский_язык,Russian_language,ln,Language
47.519547,2.060779,82,179,United_Artists,United_Artists,en,Company
64.27442,-0.09073842,83,302,Португалия,Portugal,ln,Country
47.938663,-16.961792,84,47,Argentina,Аргентина,en,Country
121.56573,-2.998499,85,64,The_Beatles,The_Beatles,ln,Band
56.49008,-7.396913,86,69,Czechoslovakia,Чехословакия,en,Country
39.586304,17.177479,87,88,Колумбия,Colombia,ln,Country
50.24673,-15.351374,88,87,Colombia,Колумбия,en,Country
48.585045,-17.290962,89,116,Болгария,Bulgaria,ln,Country
-13.549267,-11.560048,90,145,Linkin_Park,Linkin_Park,en,Band
201.80998,-0.2921237,91,104,Universal_Music_Group,Universal_Music_Group,ln,Company
55.531574,-9.082647,92,75,Hungary,Венгрия,en,Country
46.293858,16.867617,93,136,"Мартин,_Джордж_Генри",George_Martin,ln,MusicalArtist
49.27201,-15.965564,94,279,Ukraine,Украина,en,Country
46.965847,10.503893,95,52,Швеция,Sweden,ln,Country
18.87873,-6.769572,96,403,David_Bowie,"Боуи,_Дэвид",en,MusicalArtist
40.050243,-12.197218,97,1052,Японский_язык,Japanese_language,ln,Language
32.06908,30.51828,98,43,Russian_Empire,Российская_империя,en,Country
46.196484,16.835323,99,68,"Харрисон,_Джордж",George_Harrison,ln,MusicalArtist
56.473907,-7.893485,100,305,Stockholm,Стокгольм,en,Settlement
38.37318,16.925613,101,192,Канада,Canada,ln,Country
6.4034677,12.069519,102,233,World_War_II,Вторая_мировая_война,en,MilitaryConflict
46.850388,-19.346546,103,54,Эстония,Estonia,ln,Country
55.622055,4.974795,104,91,Universal_Music_Group,Universal_Music_Group,en,Company
55.539112,-9.1953335,105,158,Румыния,Romania,ln,Country
49.165894,-11.303293,106,119,Norway,Норвегия,en,Country
57.34238,-9.135102,107,168,Каталония,Catalonia,ln,PopulatedPlace
21.311596,-28.10787,108,291,Metallica,Metallica,en,Band
48.429607,24.744995,109,24,Польша,Poland,ln,Country
39.497902,-31.515022,110,57,Australia,Австралия,en,Country
53.696735,-10.341531,111,242,Аквитания_(регион),Aquitaine,ln,AdministrativeRegion
47.583168,-18.558147,112,49,Chile,Чили,en,Country
351.83936,4.6209593,113,27294,Оскар_(кинопремия),Academy_Awards,ln,Award
11.170961,-17.653383,114,139,Depeche_Mode,Depeche_Mode,en,Band
237.14119,-0.06572407,115,220,Гранж,Grunge,ln,MusicGenre
49.238087,-18.074778,116,89,Bulgaria,Болгария,en,Country
-3.6288013,38.54772,117,148,Dr._Dre,Dr._Dre,ln,MusicalArtist
9.289635,-48.518738,118,77,Lombardy,Ломбардия,en,AdministrativeRegion
49.276222,-11.322583,119,106,Норвегия,Norway,ln,Country
57.94271,-4.150601,120,63,Belgium,Бельгия,en,Country
124.663414,-2.1129873,121,186,New_Line_Cinema,New_Line_Cinema,ln,Company
46.665,18.153135,122,61,Max_Martin,Макс_Мартин,en,MusicalArtist
202.02075,-0.29222724,123,182,Dr._Luke,Dr._Luke,ln,MusicalArtist
47.77469,-17.166115,124,681,Vienna,Вена,en,City
63.27088,7.5957108,125,132,Sony_Music_Entertainment,Sony_Music_Entertainment,ln,Company
56.867367,-6.779226,126,283,Prague,Прага,en,City
0.60325074,43.89353,127,128,Греция,Greece,ln,Country
49.364212,-19.879126,128,127,Greece,Греция,en,Country
62.619705,-1.2337906,129,180,Нидерланды,Netherlands,ln,Country
33.71189,-19.889572,130,181,ABBA,ABBA,en,Band
39.69721,17.72914,131,280,Мексика,Mexico,ln,Country
122.76288,-0.50298285,132,125,Sony_Music_Entertainment,Sony_Music_Entertainment,en,Company
50.492798,-19.78756,133,470,Корсика,Corsica,ln,AdministrativeRegion
55.93679,-5.7772303,134,65,Uruguay,Уругвай,en,Country
44.275307,-0.9607987,135,70,Эминем,Eminem,ln,MusicalArtist
46.29,16.995415,136,93,George_Martin,"Мартин,_Джордж_Генри",en,MusicalArtist
57.21138,-9.176683,137,266,Арагон,Aragon,ln,PopulatedPlace
37.98111,8.050912,138,185,Björn_Ulvaeus,"Ульвеус,_Бьорн",en,MusicalArtist
30.514393,-11.352898,139,114,Depeche_Mode,Depeche_Mode,ln,Band
47.849922,4.0883546,140,159,Benny_Andersson,"Андерссон,_Бенни",en,MusicalArtist
56.228416,-11.045963,141,152,Казахстан,Kazakhstan,ln,Country
55.298542,-9.396373,142,281,Rome,Рим,en,Settlement
13.415474,19.49561,143,206,"Родригес,_Роберт",Robert_Rodriguez,ln,Artist
47.247658,-20.488428,144,825,Moscow,Москва,en,AdministrativeRegion
20.46956,-9.152937,145,90,Linkin_Park,Linkin_Park,ln,Band
34.009113,-14.531561,146,191,Elvis_Presley,"Пресли,_Элвис",en,MusicalArtist
67.509346,4.0681233,147,512,Sony_BMG,Sony_BMG,ln,Company
-3.6393883,38.45594,148,117,Dr._Dre,Dr._Dre,en,MusicalArtist
58.64429,-2.5638397,149,274,Валенсия_(автономное_сообщество),Valencian_Community,ln,PopulatedPlace
25.18344,-34.315285,150,431,Marilyn_Manson_(band),Marilyn_Manson,en,Band
62.423584,4.627026,151,66,Universal_Studios,Universal_Studios,ln,Company
56.269108,-10.95257,152,141,Kazakhstan,Казахстан,en,Country
10.568107,9.176768,153,76,Австрия,Austria,ln,Country
56.369102,-8.623421,154,567,Berlin,Берлин,en,Band
